source_lang,target_lang,model,MRR
ron_Latn,bel_Cyrl,jinaai/jina-embeddings-v3,1.0
bos_Latn,por_Latn,jinaai/jina-embeddings-v3,1.0
bos_Latn,slk_Latn,jinaai/jina-embeddings-v3,1.0
bos_Latn,srp_Cyrl,intfloat/multilingual-e5-large,1.0
bos_Latn,swe_Latn,jinaai/jina-embeddings-v3,1.0
bos_Latn,ukr_Cyrl,jinaai/jina-embeddings-v3,1.0
bos_Latn,zsm_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,als_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,ces_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,bos_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,cat_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,dan_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
bul_Cyrl,ces_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,deu_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,ell_Grek,jinaai/jina-embeddings-v5-text-nano,1.0
bul_Cyrl,dan_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,deu_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,eng_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,est_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,eng_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,fra_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,glg_Latn,jinaai/jina-embeddings-v3,1.0
nld_Latn,fra_Latn,jinaai/jina-embeddings-v5-text-small,1.0
slk_Latn,eng_Latn,jinaai/jina-embeddings-v3,1.0
ron_Latn,jpn_Jpan,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,ind_Latn,jinaai/jina-embeddings-v5-text-small,1.0
bul_Cyrl,ita_Latn,jinaai/jina-embeddings-v3,1.0
bul_Cyrl,jpn_Jpan,jinaai/jina-embeddings-v3,1.0
nld_Latn,ind_Latn,jinaai/jina-embeddings-v5-text-small,1.0
bos_Latn,rus_Cyrl,jinaai/jina-embeddings-v3,1.0
bos_Latn,pol_Latn,jinaai/jina-embeddings-v3,1.0
