source_lang,target_lang,model,MRR
afr_Latn,als_Latn,intfloat/multilingual-e5-large,1.0
ind_Latn,lao_Laoo,jinaai/jina-embeddings-v3,1.0
ind_Latn,lit_Latn,Alibaba-NLP/gte-multilingual-base,1.0
ind_Latn,lvs_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,mal_Mlym,jinaai/jina-embeddings-v3,1.0
ind_Latn,mar_Deva,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,mkd_Cyrl,Alibaba-NLP/gte-multilingual-base,1.0
ind_Latn,mlt_Latn,intfloat/multilingual-e5-large,1.0
ind_Latn,mya_Mymr,jinaai/jina-embeddings-v3,1.0
ind_Latn,nld_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,nno_Latn,Alibaba-NLP/gte-multilingual-base,1.0
ind_Latn,npi_Deva,google/embeddinggemma-300m,1.0
ind_Latn,pan_Guru,jinaai/jina-embeddings-v3,1.0
ind_Latn,pbt_Arab,jinaai/jina-embeddings-v3,1.0
ind_Latn,pol_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,ron_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,rus_Cyrl,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,slk_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,slv_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,spa_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,srp_Cyrl,jinaai/jina-embeddings-v3,1.0
ind_Latn,swe_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,tam_Taml,google/embeddinggemma-300m,1.0
ind_Latn,tel_Telu,google/embeddinggemma-300m,1.0
ind_Latn,tgl_Latn,intfloat/multilingual-e5-large,1.0
ind_Latn,tha_Thai,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,tur_Latn,jinaai/jina-embeddings-v5-text-nano,1.0
ind_Latn,lim_Latn,Alibaba-NLP/gte-multilingual-base,1.0
