source_lang,target_lang,model,MRR
ben_Beng,eng_Latn,jinaai/jina-embeddings-v3,0.9994145199063232
spa_Latn,cat_Latn,intfloat/multilingual-e5-large,0.9994145199063232
eng_Latn,ben_Beng,intfloat/multilingual-e5-large,0.9994145199063232
ben_Beng,sin_Sinh,intfloat/multilingual-e5-large,0.9994145199063232
nld_Latn,dan_Latn,intfloat/multilingual-e5-large,0.9994145199063232
eng_Latn,bul_Cyrl,intfloat/multilingual-e5-large,0.9988290398126464
cat_Latn,spa_Latn,jinaai/jina-embeddings-v3,0.9988290398126464
srp_Cyrl,tgl_Latn,intfloat/multilingual-e5-large,0.9988290398126464
eng_Latn,pol_Latn,intfloat/multilingual-e5-large,0.9988290398126464
eng_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.9988290398126464
hrv_Latn,srp_Cyrl,intfloat/multilingual-e5-large,0.9988290398126464
eng_Latn,srp_Cyrl,intfloat/multilingual-e5-large,0.9986338797814208
bul_Cyrl,ell_Grek,intfloat/multilingual-e5-large,0.998536299765808
ita_Latn,eng_Latn,intfloat/multilingual-e5-large,0.998536299765808
eng_Latn,fra_Latn,intfloat/multilingual-e5-large,0.9982435597189696
vie_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9982435597189696
ben_Beng,urd_Arab,intfloat/multilingual-e5-large,0.9982435597189696
tur_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9982435597189696
srp_Cyrl,hrv_Latn,intfloat/multilingual-e5-large,0.9982435597189696
eng_Latn,urd_Arab,intfloat/multilingual-e5-large,0.998048399687744
bul_Cyrl,ukr_Cyrl,intfloat/multilingual-e5-large,0.998048399687744
eng_Latn,sin_Sinh,intfloat/multilingual-e5-large,0.998048399687744
hrv_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.998048399687744
zsm_Latn,eng_Latn,intfloat/multilingual-e5-large,0.998048399687744
mkd_Cyrl,srp_Cyrl,intfloat/multilingual-e5-large,0.9980483996877438
eng_Latn,ron_Latn,intfloat/multilingual-e5-large,0.9979508196721312
hrv_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9978922716627636
slk_Latn,ces_Latn,intfloat/multilingual-e5-large,0.9978532396565184
swe_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9976971116315378
pol_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9976580796252928
heb_Hebr,eng_Latn,intfloat/multilingual-e5-large,0.9976580796252928
hin_Deva,tel_Telu,intfloat/multilingual-e5-large,0.9976580796252928
eng_Latn,vie_Latn,jinaai/jina-embeddings-v5-text-nano,0.9976580796252928
hin_Deva,mar_Deva,intfloat/multilingual-e5-large,0.9976580796252928
bul_Cyrl,eng_Latn,intfloat/multilingual-e5-large,0.9976580796252928
ben_Beng,tgl_Latn,intfloat/multilingual-e5-large,0.9976580796252928
srp_Cyrl,eng_Latn,intfloat/multilingual-e5-large,0.9975800156128024
ces_Latn,pol_Latn,intfloat/multilingual-e5-large,0.99756049960968
bul_Cyrl,hrv_Latn,intfloat/multilingual-e5-large,0.9975047396007584
ukr_Cyrl,pol_Latn,intfloat/multilingual-e5-large,0.9974629195940672
sin_Sinh,tgl_Latn,intfloat/multilingual-e5-large,0.9974629195940672
nld_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9974629195940672
guj_Gujr,mar_Deva,jinaai/jina-embeddings-v3,0.9974629195940672
fra_Latn,pol_Latn,intfloat/multilingual-e5-large,0.9974629195940672
dan_Latn,eng_Latn,intfloat/multilingual-e5-large,0.9974629195940672
dan_Latn,nld_Latn,intfloat/multilingual-e5-large,0.9974629195940672
tgl_Latn,urd_Arab,intfloat/multilingual-e5-large,0.9974629195940672
guj_Gujr,tel_Telu,intfloat/multilingual-e5-large,0.9973653395784544
tha_Thai,urd_Arab,intfloat/multilingual-e5-large,0.9973067915690867
eng_Latn,swe_Latn,intfloat/multilingual-e5-large,0.9972677595628416
pol_Latn,fra_Latn,intfloat/multilingual-e5-large,0.9972677595628416
bak_Cyrl,rus_Cyrl,intfloat/multilingual-e5-large,0.9972189695550352
ita_Latn,fra_Latn,intfloat/multilingual-e5-large,0.9971896955503512
fra_Latn,eng_Latn,jinaai/jina-embeddings-v3,0.9971896955503512
mkd_Cyrl,fra_Latn,intfloat/multilingual-e5-large,0.9971701795472288
bul_Cyrl,mkd_Cyrl,intfloat/multilingual-e5-large,0.9971213895394224
guj_Gujr,hin_Deva,intfloat/multilingual-e5-large,0.997114419538307
eng_Latn,hrv_Latn,intfloat/multilingual-e5-large,0.997111631537861
hin_Deva,tam_Taml,intfloat/multilingual-e5-large,0.997072599531616
ita_Latn,sin_Sinh,intfloat/multilingual-e5-large,0.997072599531616
bul_Cyrl,fra_Latn,intfloat/multilingual-e5-large,0.997072599531616
ben_Beng,kat_Geor,intfloat/multilingual-e5-large,0.9970140515222484
bos_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.996967513360956
pol_Latn,ces_Latn,intfloat/multilingual-e5-large,0.9969610795137728
pol_Latn,urd_Arab,intfloat/multilingual-e5-large,0.9968774395003904
tur_Latn,pol_Latn,intfloat/multilingual-e5-large,0.9968774395003904
tur_Latn,hrv_Latn,intfloat/multilingual-e5-large,0.9968774395003904
ben_Beng,pan_Guru,intfloat/multilingual-e5-large,0.9968774395003904
ell_Grek,eng_Latn,intfloat/multilingual-e5-large,0.9968774395003904
mkd_Cyrl,ell_Grek,intfloat/multilingual-e5-large,0.9968774395003902
eng_Latn,kat_Geor,intfloat/multilingual-e5-large,0.9968007694881232
eng_Latn,ita_Latn,jinaai/jina-embeddings-v3,0.9967798594847777
mkd_Cyrl,pol_Latn,intfloat/multilingual-e5-large,0.9967798594847777
slv_Latn,pol_Latn,intfloat/multilingual-e5-large,0.9967798594847777
swe_Latn,nld_Latn,intfloat/multilingual-e5-large,0.99672131147541
nld_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.99672131147541
deu_Latn,eng_Latn,jinaai/jina-embeddings-v5-text-small,0.996685774872709
ben_Beng,hne_Deva,intfloat/multilingual-e5-large,0.9966822794691648
eng_Latn,ukr_Cyrl,intfloat/multilingual-e5-large,0.9966822794691648
srp_Cyrl,fra_Latn,intfloat/multilingual-e5-large,0.9966822794691648
pol_Latn,vie_Latn,intfloat/multilingual-e5-large,0.9966822794691648
slv_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.9966334894613584
mkd_Cyrl,eng_Latn,intfloat/multilingual-e5-large,0.9965988777464188
dan_Latn,srp_Cyrl,intfloat/multilingual-e5-large,0.9965846994535518
ben_Beng,npi_Deva,intfloat/multilingual-e5-large,0.9965707594513216
sin_Sinh,urd_Arab,intfloat/multilingual-e5-large,0.9965261514441842
eng_Latn,deu_Latn,google/embeddinggemma-300m,0.9965023267130996
kan_Knda,tel_Telu,intfloat/multilingual-e5-large,0.9964886149171056
heb_Hebr,urd_Arab,intfloat/multilingual-e5-large,0.9964871194379392
srp_Cyrl,urd_Arab,intfloat/multilingual-e5-large,0.9964871194379392
pol_Latn,swe_Latn,intfloat/multilingual-e5-large,0.9964592394334784
ben_Beng,pol_Latn,intfloat/multilingual-e5-large,0.9964592394334784
srp_Cyrl,pol_Latn,intfloat/multilingual-e5-large,0.9964394136525284
ces_Latn,srp_Cyrl,intfloat/multilingual-e5-large,0.9964318980200126
nld_Latn,sin_Sinh,intfloat/multilingual-e5-large,0.9963895394223264
swe_Latn,hrv_Latn,intfloat/multilingual-e5-large,0.9963309914129588
jav_Latn,tgl_Latn,intfloat/multilingual-e5-large,0.9963309914129588
bul_Cyrl,nld_Latn,intfloat/multilingual-e5-large,0.9962994655617609
hrv_Latn,ita_Latn,intfloat/multilingual-e5-large,0.9962950654019054
bul_Cyrl,dan_Latn,intfloat/multilingual-e5-large,0.9962919594067136
ita_Latn,pol_Latn,intfloat/multilingual-e5-large,0.9962919594067136
bul_Cyrl,srp_Cyrl,intfloat/multilingual-e5-large,0.9962919594067134
eng_Latn,hne_Deva,intfloat/multilingual-e5-large,0.9962919594067134
